## This file defines the locations of point sources.
## PTSRCID is the identifier of different kind of point sources, it is calculated by PTSRC and ID
## 	PTSRC code includes:
## 		10000: Cattle farm
## 		20000: Pig farm
## 		30000: Chicken farm
## 		40000: Sewage outlet in rural resident
## 		50000: Water release point, such as spillway of upstream reservoir
## 	ID can be numbered from 1 to 9999.
PTSRC	PTSRCID	Name	Lon	Lat	LocalX	LocalY	Size
10000	10001	CATTLE1	117.44897	32.011126	3543174.263	3543174.263	300
20000	20001	PIG1	117.4418671	31.94989758	3536382.005	3536382.005	q00
20000	20002	PIG2	117.4441539	31.95003845	3536398.51	3536398.51	360
20000	20003	PIG3	117.4426763	31.95107219	3536512.567	3536512.567	50
20000	20004	PIG4	117.4417384	31.95114232	3536519.981	3536519.981	60
20000	20005	PIG5	117.4350936	31.95219177	3536633.808	3536633.808	80
20000	20006	PIG6	117.4756811	31.97294292	3538950.999	3538950.999	50
20000	20007	PIG7	117.4761893	31.97328504	3538989.147	3538989.147	50
20000	20008	PIG8	117.4756312	31.98838751	3540663.601	3540663.601	50
20000	20009	PIG9	117.4751131	31.98857276	3540683.927	3540683.927	50
20000	20010	PIG10	117.4816318	31.99360622	3541244.805	3541244.805	50
20000	20011	PIG11	117.4824332	31.99379731	3541266.332	3541266.332	50
20000	20012	PIG12	117.4820082	31.9937456	3541260.419	3541260.419	50
20000	20013	PIG13	117.4823254	31.99408442	3541298.123	3541298.123	50
20000	20014	PIG14	117.4163806	31.99647754	3541537.596	3541537.596	50
20000	20015	PIG15	117.4640726	31.99918622	3541856.306	3541856.306	50
20000	20016	PIG16	117.4656355	31.99980726	3541925.807	3541925.807	50
20000	20017	PIG17	117.4646243	31.99973155	3541917	3541917	50
20000	20018	PIG18	117.4653357	32.00006119	3541953.843	3541953.843	50
20000	20019	PIG19	117.4555386	32.00897644	3542938.498	3542938.498	50
20000	20020	WangDa	117.4559185	32.02207634	3544391.28	3544391.28	1000
20000	20021	ChangHuaiMuYe	117.4667732	32.01229326	3543310.825	3543310.825	3000
20000	20022	JianDaYangZhi	117.4536917	31.953076	3536739.076	3536739.076	2000
20000	20023	PIG23	117.460075	31.9990143	3541835.627	3541835.627	10000
40000	40001	QianLiuGongYuan	117.483587	31.95292433	3536734.492	3536734.492	2000
40000	40002	PaiFangZhongXue	117.468861	31.954558	3536909.522	3536909.522	2000
40000	40003	SanWangCun	117.478025	31.985451	3540338.973	3540338.973	1000
20000	20024	ShangYeShengTai	117.4738343	32.0176558	3543908.373	3543908.373	1000
20000	20025	ShouFaJiaTing	117.4793057	32.01858011	3544013.148	3544013.148	500
20000	20026	WenYingYangZhi	117.4703902	31.95639411	3537113.751	3537113.751	2500
20000	20027	XiaoBaoShengZhu	117.477229	31.96512739	3538084.995	3538084.995	700
20000	20028	QiBiaoYangZhu	117.4679496	31.9734777	3539007.113	3539007.113	900
