2013-05-04, IGRO: 0, phuBase: 0.201539, phuAcc: 0, phuPlt: 0, optCode: 1006
2013-05-05, IGRO: 0, phuBase: 0.205294, phuAcc: 0, phuPlt: 0, optCode: 2013
2013-05-06, IGRO: 0, phuBase: 0.208869, phuAcc: 0, phuPlt: 0, optCode: 3003
2013-05-07, IGRO: 0, phuBase: 0.212229, phuAcc: 0, phuPlt: 0, optCode: 4010
2013-05-08, IGRO: 0, phuBase: 0.215556, phuAcc: 0, phuPlt: 0, optCode: 5013
2013-05-09, IGRO: 1, phuBase: 0.218604, phuAcc: 0, phuPlt: 2100, optCode: 6001
2013-05-25, IGRO: 1, phuBase: 0.281264, phuAcc: 0.100333, phuPlt: 2100, optCode: 7013
2013-06-18, IGRO: 1, phuBase: 0.374695, phuAcc: 0.254191, phuPlt: 2100, optCode: 8010
2013-06-24, IGRO: 1, phuBase: 0.40199, phuAcc: 0.307429, phuPlt: 2100, optCode: 9013
2013-07-16, IGRO: 1, phuBase: 0.505321, phuAcc: 0.500286, phuPlt: 2100, optCode: 10013
2013-07-27, IGRO: 1, phuBase: 0.560437, phuAcc: 0.605952, phuPlt: 2100, optCode: 11003
2013-08-06, IGRO: 1, phuBase: 0.612654, phuAcc: 0.708333, phuPlt: 2100, optCode: 12013
2013-08-15, IGRO: 1, phuBase: 0.662615, phuAcc: 0.809619, phuPlt: 2100, optCode: 13013
2013-08-24, IGRO: 1, phuBase: 0.707979, phuAcc: 0.900381, phuPlt: 2100, optCode: 14013
2013-09-14, IGRO: 0, phuBase: 0.795447, phuAcc: 0, phuPlt: 2100, optCode: 15005
2013-09-25, IGRO: 0, phuBase: 0.841075, phuAcc: 0, phuPlt: 2100, optCode: 16006
2013-09-28, IGRO: 0, phuBase: 0.850399, phuAcc: 0, phuPlt: 2100, optCode: 17003
2013-09-29, IGRO: 1, phuBase: 0.853512, phuAcc: 0, phuPlt: 1700, optCode: 18001
2013-12-10, IGRO: 1, phuBase: 1.01787, phuAcc: 0.203882, phuPlt: 1700, optCode: 19010
2014-04-10, IGRO: 1, phuBase: 0.135831, phuAcc: 0.298, phuPlt: 1700, optCode: 20003
2014-05-10, IGRO: 1, phuBase: 0.223397, phuAcc: 0.436118, phuPlt: 1700, optCode: 21010
2014-06-01, IGRO: 0, phuBase: 0.310371, phuAcc: 0, phuPlt: 1700, optCode: 22005
2014-06-02, IGRO: 0, phuBase: 0.313962, phuAcc: 0, phuPlt: 1700, optCode: 1006
2014-06-03, IGRO: 0, phuBase: 0.317602, phuAcc: 0, phuPlt: 1700, optCode: 2013
2014-06-04, IGRO: 0, phuBase: 0.321589, phuAcc: 0, phuPlt: 1700, optCode: 3003
2014-06-05, IGRO: 0, phuBase: 0.325855, phuAcc: 0, phuPlt: 1700, optCode: 4010
2014-06-06, IGRO: 0, phuBase: 0.330368, phuAcc: 0, phuPlt: 1700, optCode: 5013
2014-06-07, IGRO: 1, phuBase: 0.334832, phuAcc: 0, phuPlt: 2100, optCode: 6001
2014-06-15, IGRO: 1, phuBase: 0.370544, phuAcc: 0.0670476, phuPlt: 2100, optCode: 7013
2014-07-10, IGRO: 1, phuBase: 0.474122, phuAcc: 0.244429, phuPlt: 2100, optCode: 8010
2014-07-17, IGRO: 1, phuBase: 0.50448, phuAcc: 0.300191, phuPlt: 2100, optCode: 9013
2014-08-08, IGRO: 1, phuBase: 0.610859, phuAcc: 0.504619, phuPlt: 2100, optCode: 10013
2014-08-23, IGRO: 1, phuBase: 0.67207, phuAcc: 0.607381, phuPlt: 2100, optCode: 11003
2014-09-05, IGRO: 1, phuBase: 0.723628, phuAcc: 0.696667, phuPlt: 2100, optCode: 12013
2014-09-20, IGRO: 1, phuBase: 0.780671, phuAcc: 0.792, phuPlt: 2100, optCode: 13013
2014-10-05, IGRO: 1, phuBase: 0.836232, phuAcc: 0.880524, phuPlt: 2100, optCode: 14013
2014-10-15, IGRO: 0, phuBase: 0.867233, phuAcc: 0, phuPlt: 2100, optCode: 15005
2014-10-16, IGRO: 0, phuBase: 0.870281, phuAcc: 0, phuPlt: 2100, optCode: 16006
2014-10-17, IGRO: 0, phuBase: 0.873592, phuAcc: 0, phuPlt: 2100, optCode: 17003
2014-10-18, IGRO: 1, phuBase: 0.876837, phuAcc: 0, phuPlt: 1700, optCode: 18001
2014-12-10, IGRO: 1, phuBase: 0.982144, phuAcc: 0.103824, phuPlt: 1700, optCode: 19010
