PTSRC	PTSRCID	Name	Lon	Lat	LocalX	LocalY	Size
10000	10001	CATTLE1	117.4886111	31.90666667	39546217.36	3531607.234	300
10000	10002	CATTLE2	117.5127778	31.925	39548493.67	3533650.727	274
20000	20001	PIG1	117.5044444	31.95888889	39547688.07	3537404.888	500
20000	20002	PIG2	117.4991667	31.97333333	39547181.74	3539004.292	150
20000	20003	PIG3	117.505	31.96861111	39547735.56	3538483.211	150
20000	20004	PIG4	117.5101556	31.963325	39548225.66	3537899.33	350
20000	20005	PIG5	117.4988889	31.96472222	39547159.88	3538049.301	200
20000	20006	PIG6	117.4925	31.97722222	39546549.63	3539432.636	400
20000	20007	PIG7	117.4922222	31.96805556	39546528	3538416.042	250
20000	20008	PIG8	117.48	31.95472222	39545379.22	3536932.347	350
20000	20009	PIG9	117.5072222	31.95638889	39547951.97	3537128.895	900
20000	20010	PIG10	117.5125	31.94194444	39548458.51	3535529.531	600
20000	20011	PIG11	117.4969444	31.93083333	39546993.32	3534290.592	100
20000	20012	PIG12	117.4927778	31.91944444	39546605.04	3533025.909	400
20000	20013	PIG13	117.5025	31.92972222	39547519.26	3534169.808	350
20000	20014	PIG14	117.4958333	31.92222222	39546892.62	3533335.247	400
20000	20015	PIG15	117.5063889	31.93277778	39547885.43	3534510.343	200
20000	20016	PIG16	117.5091667	31.89805556	39548166.2	3530661.322	200
20000	20017	PIG17	117.4908333	31.92388889	39546418.91	3533517.907	300
20000	20018	PIG18	117.5147222	31.93833333	39548670.54	3535130.1	300
20000	20019	PIG19	117.4838889	31.96388889	39545742.33	3537950.456	400
20000	20020	PIG20	117.4930556	31.96166667	39546610	3537707.949	508
40000	40001	SEWAGE1	117.4808333	31.87666667	39545496.4	3528277.345	9000
40000	40002	SEWAGE2	117.4802778	31.92777778	39545418.73	3533944.661	3000
40000	40003	SEWAGE3	117.4887083	31.95170278	39546204.02	3536601.211	1000

